,text
3791,Sahi thi
3792,Big for ear and uncomfortable
3793,"Comfortable for ear and nice look sound, quality good"
3794,The product is good but is really delicate.... I dropped it once.. and it broke
3795,When speaking to someone the noise is very bad
3796,Good
3797,When on calls echo sound unable to hear properly. Review on same
3798,"Using for 6months, initially everything was fine with this product so I even bought one more...but both of them were working fine. now my set is gradually loosing its volumeand in other set left side one is low on volume. Problem is in this pandemic situation the company only supports warranty if you take them to nearest service center."
3799,Not good for teams calls
3800,"                    The media could not be loaded.
                



 Use product not buy"
3801,Sound quality  and bass quality is very good
3802,"Like design, dislike sound quality"
3803,The charging stopped after 3 months of normal usage
3804,The sound quality is absolutely good . But i have to return this bcoz of the mic while talking some weird electronic type sound coming and the other person not able to hear my voice properly. I tested it jus after opening the box. Maybe this one is foulty peice
3805,Nice products
3806,एक पीस खराब हो गया है एक हिस्सा ही काम कर रहा है उसे भी कनेक्ट करने में समस्या आती हैंफोन पर बात करते समय दूसरा व्यक्ति समझ ही नही पाता कि में क्या बोल रहा हूँ उसे किलियर साउंड पहोच ही नही पाता .....अपने जीवन में मैने कभी इतना ज्यादा घटिया प्रोडक्ट नही देखा  बरेली जैसे बड़े शहर मेंसर्विस सेंटर का अता पता नही है कस्टमर केयर वाले फोन नही उठाते मेरे पूरे पैसे पानी मैं चले गए इससे अच्छा एक 40 रुपये वाला ईयर फोन खरीद लेता वह इससे बेहतर काम करता  वैसे में कभी किसी प्रोडक्ट की समीक्षा नही करता लेकिन इस उपकरण के इतने घटिया पर्दशन के चलते मुझेयह समीक्षा करनी पड़ी ..........!
3807,The case was wobbling after 2 weeks and when I saw the details of my order I couldn't return it as the return window had expired in the 1st week itself. Good for listening to music only not helpful when it comes to calls no one can hear me on the other side with these buds on
3808,Betri
3809,No one
3810,Good
3811,Battery backup is very nice & sound quality कुछ better ओर हो सकती थी...👌
3812,I liked it very much sound quality is very good
3813,Like
3814,Don't expect too much from this. It's best for call usage.
3815,"                    The media could not be loaded.
                



 Bass quality too good 😄Sound quality in Bluetooth connectivity is good 😊Noise cancellation is good 🙂"
3816,SO nice
3817,Nice sound and fit for ears. Bass and sound very nice
3818,Sounds is best
3819,Sir one side not working
3820,Sound sa lake bass tak sab A1 ha sabko lena chiye...😁🔥
3821,The mic in this is very worst......it didn't take my voice instead of than it takes surrounding noise I hate this product don't buy this waste of money
3822,Poor quality and Amazon more time parchase but defective product recived future not parchase any products
3823,Very bad quality it's broken in just 10 days and service centre refused to repair itVery bad product with bad service centre
3824,i like but not that much what i expected but it is overall good.
3825,While call to headset voice not clearly. Don't purchase anybody
3826,"                    The media could not be loaded.
                



 Asome products but not touched"
3827,The bass is not so good and this is not fit properly in evry ear size so it's dependable..
3828,Audio call is unable to pick up and not working well whenever I get call in  travel
3829,Very poor quality earbuds.
3830,Sound quality and bass is very good. Earpods are great and have microphone in them. It comes with a case that charge these Airdopes and show its battery also. Overall very good product.
3831,The audio stops suddenly for one or two seconds sometimes with no reason otherwise it is ok. value for money
3832,"Product is just OK, mentioned active noise cancellation but doesn't seem so. At outside other side people unable to heard properly. Sound distorted after few meter of Bluetooth range. Battery running time 2-2.5hrs."
3833,I dislike whole product
3834,It's need repaired in short time and no option availablr
3835,Useless product which i want to return.
3836,Very good sound quality and great for listening to songs etc. The drawback is that the microphone is very bad and what we speak hardly gets to the person at the other end.Good  battery life too.
3837,The quality isn't up to the standard of the price range
3838,Microphones are horrible
3839,Good product
3840,"At 999/- it's a good buy but if u can afford more, don't go for this. The fit isn't great. Because of a loose fit the immersive sound is ineffective. Even the smallest ear pad didn't do justice. It's ok for calling but not for music. Good battery life and a good BT connectivity."
3841,Good
3842,Right one is nt working with in a month
3843,One earphone works and other is dead
3844,Sometime saund not working auto matik lag
3845,Nothing
3846,Good
3847,Nice
3848,"                    The media could not be loaded.
                



 I like  the"
3849,Awesome product I like it
3850,Can't hear the opposite person voice in call bad quality of Mike
3851,
3852,Sound quality is ok ...but can use only for short time...the bud is made of hard plastic and getting ear pain ...when use long hours.
3853,"                    The media could not be loaded.
                



 This is the good product and good valuable prize"
3854,Best product for commercial users not for office or business purpose
3855,Nice
3856,"                    The media could not be loaded.
                



 Sound is average bass and noise is clear and fine and battery life is very good"
3857,Product is good but sometimes it's showing wrong battery percentage
3858,"Good Ear pods , Nice"
3859,This  product  are good but sound quality very por when we call  earing  very low
3860,Very good quality product .... Sound quality also perfect
3861,All features are good. Need to improve the sound quality for online meeting. Need to improve the bass.
3862,Good.GoodGood
3863,Best quality and low price
3864,Good product at this rate
3865,Good one
3866,Ear buds ke girne se 2 tukre ho gye
3867,Base
3868,"Very bad fitting in ear, I tried very hard not to drop it while using but it got dropped somehow and one earbud gotopened, I tried to close it back but not able to do so. Feels risky to use it. Can’t concentrate properly on the work if I have to think of  earbud falling every time. I bought 2 pairs and 1 earbud of each pair got opened due to falling."
3869,Nice superb sounds
3870,Ok
3871,Okay for regular usage.. but there is no touch feature in it... It's button to press which is so annoying in 2021
3872,Whole product is good 😊
3873,1. Wrong battery 🔋 %2. 🔋 Drains faster3. Bluetooth will not connects to your Mobile after 2 months of usage.
3874,"We are yours Product was very nice we had placed the order once, we found it better and more comfortable that's why we placed the order back"
3875,"It's a good earphone, not a good mic. Very poor audio transmission during calls"
3876,"I like colour, bettry time, but bass not present"
3877,"The absolute worst!A waste of money, they don’t charge, and even though the charging percentage is showing 95% the airdope keeps saying oops battery low, cannot even finish listening to a single song and now they’re not working at all!!👎🏻"
3878,Product is good fiting in good control
3879,It's best sound.. no distrubance
3880,The bass is too poor. Not fun earphones.
3881,Not working properly
3882,"                    The media could not be loaded.
                



 The charging case and everything is fine. These are not as good as noise cancellation but they are nice. I suggest if company could system - it to pair with tv and mobile without forgetting or unpairing it."
3883,Audio quality is good but mic is poorSometime it will disconnect automatically
3884,Except for the battery life everything is good
3885,Excellent for this price. when speak call our sound is low.
3886,Its verry usefull for gamers
3887,Blootooth range and noise cancellation are not up to mark
3888,Overall the product is good
3889,Bass is good battery life is better
3890,"Agar aap music sun ne ke liye dekh rahe ho is product ko to mere taraf se na hai, itna ghatiya sound quality hai ke aap return karne pe mazbur ho jaoge. Is se achha to ptron ke earbuds hai at least ek number ka music experience dega. I said no for this one. Aage aapki marzi"
3891,
3892,You will get frustrated.. You have to charge every single hour to use it.. Full charge will won't last more than an hour
3893,Good
3894,Ok. Need more durable or Strong product. As it's very sensitive
3895,This is the best product under it's rate.After using 1 month I give this rate.
3896,"Substandard Quality Products, just as the just after 20days of buying the product, one earbud is not charging nor responding, this was my first and last purchase of a boat product."
3897,Overall very good
3898,"                    The media could not be loaded.
                



 Good"
3899,I am happy this product is so amazing
3900,
3901,"Overall good if you are looking for just loud and clear sound,doesnt have that crisp music essence but you shouldn't also expect that at this price."
3902,Super 👍
3903,Good Product 👍👍
3904,"                    The media could not be loaded.
                



 The Problem is with design, design is not that good, faulty design, sound quality is quite good but, check the video i dropped, design is not at all good"
3905,"I use one Earbud at a time, you get a battery life of 3-5 hours of average call usage, am really not happy about the battery life for average calls.Even if you don't get calls the battery would drain based on the time its out of the charging dock.The sound effects for music is decent, not a Wow feeling as I expected from this Brand.Got it on a lightning deal for Rs 999, but expected more quality from Boat !!"
3906,"Product design is nice, very use too, price is really good. Sound quality is not much Impressive. You have to manage with bass quality. Some time loose connection. But I really love to use this product."
3907,Super.
3908,This product is totally awesome. The sound quality is extremely good in this ear buds. Bass is also good. I personally recommend you to buy this awesome product. Even battery life was suprising
3909,It's good but during the call you can here others communication but your voice they can't hear easily...always they use to say that my voice is not clear
3910,
3911,Super
3912,Bluetooth connectivity issues
3913,Third class item
3914,waste of money
3915,amazing build quality and sound quality also. Worth the cost
3916,अच्छा है
3917,Good
3918,"The product is useless , buying it means only wastage of time and money."
3919,Sound quality not good. During calls no voice clearity.
3920,Best
3921,"During my first purchase these eardopes didn't work even for a day then I submit request for exchange or return, n after exchange I received n yes now it's working good n it's almost more than 4 months best sound quality n battery backup is also good👍"
3922,Microphone is not good overall sound quality 8s ok but in between call you have to speak loudly
3923,"Best product for price. Battery backup is just mind blowing, connects quicker, but Noise cancellation is not upto the mark but it is okay and worth for price comparing other products for this price"
3924,After 3 months of use we are unable to connect to the device.Waste of money please don't purchase
3925,Product good but battery pick up was dissapointed 🤧
3926,पर बात करने में दिक्कत होता है
3927,Overall product is good and worth for money.It's case is also strong enough as it was accidentally fell both case and earbuds but continued to work properly and fitting is also good.
3928,Sound has echo and listener can't hear clear sound
3929,This is my 4th boat headphones out of which 2 AirPods are not working at all! Other 2 are wire headphones which are working fine!Boat if you don’t know how to make AirPods please don’t try it! You are wasting our time and money and energy!!! Focus on wired headphones only!!Frustrated customer!
3930,"Nice product. I bought the cherry blossom and it looks very cute. i love the color. Looks really good when you wear it.But if I talk about the noise, if anyone like high bass, I would suggest you to check for other airpodes. The bass is not upto the mark.This even displays the battery status, which I like a lot. Even, fast charges.Overall, good product, except the bass🙂"
3931,Ya on this prices range sound & Bass quality is nice & also Noise cancellation is good..!
3932,"Useless product. Very delicate airpodes. Stopped working within 1 month of purchase.""1 year warranty from the date of purchase"" is completely fake. Applied for warranty but the company rejected it giving unrelated excuses.Will never buy boat products again after such horrible experience.Better go with some other brand."
3933,Getting outside of noise and voice not clear to other person while speaking
3934,Dislike
3935,Overall all good
3936,Don't purchase defected piece send by the distributor
3937,One month use ofter speaker no working
3938,Ok
3939,Brilliant product as I am using it from last 1 and half month. Battery is awesome and very long lasting. It can be fully charged within 30 to 45 min. Everything is perfect from its carrying case to its sound quality 🙂. I love it. The things I bought from Amazon all are brilliant. I personally recommend this app for purchasing things. All the items from cheapest to most expensive are available in it. So purchase the things you want and enjoy😊.
3940,Good product. correct price.very easy to carry
3941,Nice
3942,"mala Approximately 15 days ago, I have been using this product I have experienced that, when running in, suddenly stops. not made perfect."
3943,Good
3944,"Writing review after using it for 3 months. Everything is good except connectivity, it’s little bit weak. If you are using it while lying down the connection disturbs even if your hands come in between the airpods and your phone. But i guess you can’t complain in this price. Itna paisa me itna hi milega."
3945,I'm like boat product but buds are not like bcose thickness more big not fit proper in ear
3946,"Sharing this review after using two weeks and this review based on my personal uses it may be different from person to person.1. Fits in ears perfectly. Even you can run after putting this.2. It is good for music liester not for phone calling.  Otherside not get the voice proper and clear.3. Charging case build quality is low grade even battery display inside the box not showing the battery accuracy.4. Bass and sound quality are average, this issue is not with that particulary all boat product sound and bass quality are average.5. Bluetooth connectivity with phone is good not face any issue to connect with phone."
3947,Waste of money
3948,"                    The media could not be loaded.
                



 I had a huge expectation on this product during my purchase. Sound quality was good but the charge goes down as fast.Within 8 to 10 mins charges goes down from 60 to 40. I was totally upset on this product."
3949,Very nice 👌
3950,"The charging part is the worst of all . Although the bass and sound quality are quite good, battery backup is so dis-satisfying. The battery couldn't last for even an hour. Hoped much better than this."
3951,I mentioned that very exilent sound quality with very sharp purity also noise cancellation is too good 👍. It's  bass quality also nice.
3952,"If you've going to switch from a wired boat earphones to wireless and you want the same or more about of bass then this is not recommended, I've used it it's a nice products considering the price"
3953,I get loss of 200 rs
3954,Good sound and bass and within budget also. Would recommend this below 1500₹.
3955,"Although the sound quality is fair according to the price, the product is delicate. Once fallen from your ear due to improper fit, it’ll open apart into two pieces and won’t fix again. It happened with both of my earpieces."
3956,"Actually I ordered boat tws 121v earphones but those were not working properly,poor sound quality, one of the earphones was disconnected sometimes and again connects it repeats again and again.So I returned back and get new one it was really nice and gives Excellent performance Better sound quality, good battery back up but sometimes doesn't receive audio when keep in phant pocket  really amazing product worthfuk product @999/-"
3957,
3958,I buy ut but it is used them I replace it but again it is used
3959,Calling voice poor
3960,Best
3961,Good
3962,The sound in this cost is very amazing and is very clear. If you will full the volume than also you will not feel that the sound is cracking. Bass quality is amazing if you will keep it pish in your ear but as you will release it and wear normally it will not amazing but yess it is not bad
3963,The product is good for gym usage but not good for calls. The voice echoes and unclear to the person on call.Bass is good but microphone needs improvement for calling purposes
3964,For listening music best buy of this price but for calling it's little bit poor sometime...
3965,good battery life.& audio
3966,Good product
3967,the only thing I disliked about the product is neither I can use any extra ear guard to hold the airdopes from falling off from my ears nor I can change the product with other boats' product due to the policy...
3968,Not good
3969,Sounds
3970,Nice
3971,"Not good for calls , your voice will not be audible to others on a call ...its good for movies and songs listening"
3972,Very averages sund quality notwithstanding the price range. I think mivi products are better.
3973,Good
3974,Super
3975,Not properly fitted in ear..as a result noise cancellation is very poor..despite changing size of the caps.
3976,The charging cable is useless
3977,Please don't buy if you can afford better one. It's been one month doesn't charge and the indicator  is kind of Annoying. It just doesn't worth the money instead one can opt for wired one's.
3978,Very good
3979,"Very very aesthetic looking! But the bass could be better. Not too great, very similar to my skullcandy wired earphones."
3980,I brought this because I wanted something wireless yet pocket friendly and I find it worth every penny.
3981,Left side is not working
3982,Good
3983,"                    The media could not be loaded.
                



 This is a damaged condition, hence request guidance whether I can try & unwrap the box are to return the package, but still given single star without experiencing the product as we are not able to move forward without submitting the feedback"
3984,Bass is not bad but not satisfied.
3985,Battery
3986,The sound quality while receiving call is very bad not able to connect properly so th e sole purpose of buying the Earbuds has not been  met .
3987,Thank you boAt for making superb ear phone.#Sound Good##Battery Back up superb###Perfect Bass
3988,Very good
3989,When I talk to someone the voice are cracked but when I use it as a music it's good.
3990,Gets disconnected randomly from phone in pocket. Even after kept in case it stays on unlike previous product that was same.
3991,Great one. Go for it❤
3992,"                    The media could not be loaded.
                "
3993,There is an issue after 2 month usage. It's using my phone speaker sound not using bluetooth sound... When ever I am playing any song the sound will be coming from phone speaker not in bluetooth. Tried multiple time disconnect and connect again but not able to listen sound from bluetooth.
3994,For music purpose is ok.Base okQuality okBut if we want to teach online then little problem in amplification of voice to other side or if we make call then also little pitch of voice is low.
3995,Please replace my order not aa good voice  please
3996,"                    The media could not be loaded.
                "
3997,Must purchase. Excellent product.
3998,"The quality of the mic is very poor and the person on the other side can not hear anything properly even when I was indoor with no noise around me. I also did not receive extra ear tips in the box. Build quality is okay for the price. Sound quality for music is good for the price. But it lacks terribly in the most basic use, that is how this product's mic sounds, which is very very poor. I never used of heard of any product which can be this bad on mic. Rs.50 earphones have better mic. I was going to throw it in the garbage area in front of our house, but trying to replace the product and see if the other one is little better. The problem is, they focused on splash proofing the product and there is no gap for the voice to go in. It is totally muffed. It sounds like mic is under a pillow and person is talking through the pillow. Don't buy it. Spend little extra and get realme buds q may be"
3999,good for the money
4000,"You can hear only if you are in straight line, range appears inferior, pod retrieval from box is not smooth. Not impressed with sound, bass quality"
4001,Mic quality not good.
4002,Dt talk with this pads in running tha vechile not inuse driving purpose fully disturbing ony listing music alone that s enough
4003,Audio is not proper while taking with other
4004,Good
4005,"                    The media could not be loaded.
                "
4006,Ok
4007,
4008,Good
4009,There was a charging issue and I went to their service centre and they said ok it is not charging properly we will replace this with a new one and I got msg also saying that ur replacement item will be sent to u by courier and to my surprise when I received it's the old one with the same issue.
4010,I got product which mfd in 2014. First time I got used product .So I would suggest but latest product which may come with good features.
4011,Must improvement needed in connection quality and
4012,"Small, good battery life and easy to use.Sound quality and bass are just okay which is justified at this price point.Edit - The product stopped working after 10 months. Claimed warranty and doorstep pickup and replacement drop off took 13 days in total. Visiting a physical service center will make it way faster but Overall the process was convenient and good. So even if it fails, boat got you covered."
4013,This Is the Second One I Have bought...I had Black Color and was bought a Year Ago. Still Works Awesome... This is bought for my Mom
4014,Product is good. But bass is average
4015,Only one side working
4016,Not bad
4017,"                    The media could not be loaded.
                



 हमारा इयरफोन खराब हो गया है वारंटी से पहले ही हमे इसे चेंज कराया जाय कृपा करे"
4018,Perfect
4019,Gud for video or audio. Noise cancellation while calling is issue. One right side bud is not fitting properly.
4020,Mic need some improvements
4021,BEST PRODUCT IN THIS PRICE RANGE. SOUND QUALITY IS GOOD
4022,Bass is noy good for this particular product
4023,"                    The media could not be loaded.
                "
4024,but drivers must more upto 12mm.then it will be outstanding...
4025,Third class product don't buy this product
4026,Good product
4027,Very good product
4028,"The product is good but I have a problem with the connectivity range. If I keep my mobile in my pocket,  the podes get disconnected."
4029,Please don't compare it with Sony headphones. Calling or voice quality is good but I am not happy with its bass or music beats. Charging backup is fine after using it 1 week.
4030,It actually stays for 3-4 days.. Once charged had A very good experience since a month
4031,"This airdopes is totally waste of moneyMy right airdopes works media only not call and left is not working conditionIt took only 2 months to buy this, so much mail has been sent, no response has come."
4032,Build quality is poor ordered 3 times and received fully damaged earpods
4033,Bass is middle and sound quality must
4034,"It's is a good one, only problem I don't take it while running because it slips out."
4035,"No bass at all. Don't buy if you're looking for talking over call. Just suitable for listening to music on low volume.  Suitable for Gym, running etc."
4036,Ok this is too much of Quality
4037,"Sound quality is good, bass is also perfect but at the time of calling you can't talk wearing this airpodes."
4038,I use AIRDOPES 441 and really liked the quality. The sleek design of 121v2 attracted me so I got this for my mom at ₹999/- thinking it would be a steal.. the quality of the charging pod is extremely cheap and frail I'm sure in a span of 2 weeks it will be loose and won't close. Noise cancellation wasn't upto par. Overall very disappointed.I would recommend the Airdope 441 over this.
4039,Good
4040,Call voice not clear .bat karane wale person ke pas voice clear nahi jati h baki thik h
4041,Wonderful and steady product it is.. Battery back up of Pods & Case are too high..Case is also good quality. Case has fallen at least 3-4 time from bed but not even minor damage is observed.
4042,At the time of checking the box. It was opened and found that Wireless Ear buds (Airdopes) along with charging case were missing in the box. Only Charging cable and earmuffs were found
4043,Sound quality is very good
4044,They stopped working in 5 to 6 months and I applied for warranty but their refused to repair and said they were damaged.
4045,Nice
4046,This airdopes is no water proof.
4047,Mic doesn't receive my voice clearly.But the sound quality is quiet good 👍
4048,I ordered this product for my online classes.... And I used it for 3 to 4 time..... It was so good..... I enjoyed the music..... Finally about to start my class..... And guess what.... the right side is not working...... I can't return it because the returning time duration is already passes...... So my money is wasted even before I start my class...... ☹️☹️☹️☹️☹️☹️
4049,Sound & bass is good.
4050,Don't buy this for calling purpose
4051,Ok
4052,Good product.But I order black color but seller delivered gray color
4053,The product is having less compatibility with Windows OS.Poor mic - not capturing voice.Echo voiceNot comfortable as it is having push button.Charge point is mini- usb.
4054,Best comptable use for ears
4055,You can't talk with any one with this device due to out side noise disturbed your sound and the other person unable to listen your words
4056,Nice product
4057,There is something wrong with the battery of it  it show it is 81 or any other number but actually it shut down because of less battery
4058,Good battery life and sound
4059,"Very poor audio quality on calls for the listener - when you speak, you sound muffled and as if speaking from afar. Tried this with 2 units of the same model. same issue. Tested with 3 different smart phones so it's not a phone issue. It's the earbuds. Let's see if the replacement being sent is any good"
4060,"When using airdopes during call our voice is not clear to the person on other side, everything else is good"
4061,The microphone on this is a waste of space if you want to use them while meetings.Sound quality is no different than any similar brands out there.No where close to the - Philips and Sony in terms of quality.The only plus point is price but its useless overall
4062,Like office duty
4063,Poor product
4064,Good quality product
4065,No bass
4066,Morning wlaks
4067,
4068,left ear bud stopped working after a month of use.
4069,It's very very product within 10 days it's not working
4070,Not Really bad in calling but have no noise cancellation which create problem on calls while driving.
4071,"Don't buy, they do not fit well in any type of ears. Keeps falling oit"
4072,Awsome products
4073,I am writing this review on the third day after I bought it. It is profitable for this price. The music is awesome to listen to.  Getting battery above 15hrs.  But it is not useful for calling.  What we say is not clear to the person speaking to us.
4074,"Everything is good , except the range of bluetooth."
4075,"Feels light, looks good sounds good.Left earpiece keeps breaking sound. Not happy with it."
4076,Sound is not good for game so and half kept miss also no sound can you give us more sound earbuds and for games
4077,Mic is not good hence while calling the sound is distorted even in indoor places. Otherwise good for just listening to songs or watching movies.
4078,Nice ear airdot!
4079,Product has better sound in this price
4080,"I purchased  boat eardops121v 5th nov.2020. when packg open case is already charged just open case reduced at 92% & when i buds used full & battery low so 1st time charged buds (take37%) 1hr time so only 2time case given chrged to buds, & case self charg take 2&1/2hrs. Boat claim 380 mah capacity of case but how should possible only 2time buds charged & 1st time more reduce case for each buds charged & 2nd time only(7%). I use alternative each buds so no more need to case charge require 4dys, sound & bass is well somehow no more expected. Buds r pain in ear after long 1hrs used,  call quality & noise reduction no more expect bcze it some how ok buttons is very hard & 🔊 make, no IPX water 💦 proof & batterybackup each buds  3hrs got connectivity only each 1 time mobile or smart tv etc. so all of my opinion last 20days useing 50/50 it ok but price rage it costlyno ipx case quality cheap if it felt then easily broken Buds plastic quality ok."
4081,If any one calls or if u make a call the sound quality isntoo slow to hear. It's not clear voice
4082,Just like
4083,The product is nice with good sound quality.
4084,Honest review- if you have a bugdet of 2000 then just go for other boat airbuds which range between 1500 to 2500But don’t buy this productBoat compromised everything with priceBass to too bad sound quality is also not wellCase built quality is poor
4085,Good product. Only con is microphone 🎤. Everyone complains about my voice too low. So I use phone's mic.
4086,Product is very good. Specially the battery backup.
4087,Excellent
4088,"Please Don't purchase any product from boat company. I have purchased this product used it for only 8 months within 1year and within warranty the product is malfunctioning, Bad sound quality, bad noise cancelation, not charging, unable to on it and unable to use it. I am hered that boat company products are useless and now they told to replace but the service is also worst. Bekaar China mall."
4089,Using this product over a month now. Enjoying the hands-free while a walk or gym.Pros: The sound quality is great and also the noise cancellation works to perfection. Full marks to that.Cons: Problem with mic. While speaking over a call the other person hears a lot of disturbance of surroundings no matter how far the sound is coming from. Lot of shaking while doing walk n talk.Overall satisfied.
4090,Mike quality is poor. Cant be used for calls
4091,"This product is good but , whenever used this in online meetings and video call .then voice break lot . Mic doesn't working properly and sound was not clear .they showing lot of problems while connected on internet call and Video chat ."
4092,The bass is very poor. The sound is not well rounded but harsh. Moreover the left earbud seems to be not functioning fully. It has a much lower sound than the right one. Dissapointed with the quality of the product.
4093,Audio is not clear. Unable to hear voice because of background noise n connection break
4094,Theek hai
4095,They're really good. But the colour for the pink eardopes is a bit different from the one shown above. It's clearly a different shade.
4096,Everytime disconnect the Bluetooth than calling...otherwise don't voice received on opposite person
4097,Yes it's good not bad under 1000/-
4098,Nice
4099,Good product
4100,Call PE awaj thik se nahi jate he samjne wale ko
4101,"Using for 1yr , one airdopes working but other one not working and charging issues as well . Don't know how to connect with service centre"
4102,product renewed aIt's
4103,Fine as company name itself enough
4104,This is best product
4105,Not good product also voice system down required replacement this product
4106,To listen music it's good. But for phone calls and online meeting its very bad. The other end users are unable to listen our voice clearly
4107,Its was awesome
4108,Nothing to dislike  but what I don't like is it capture all the noise around us and it's so difficult to talk in / around the traffic..Rest all is amazing  . I loved the product overall..  Color is nice same as shown in the picture delivery was okay... Overall worth buying
4109,"Product is good according to the price, sound is good, but mic is not good, you need to speak louder while taking calls. I'm satisfied with product. Some minor issues, but over-all the product is good. You should go for this."
4110,Don't buy this product it is not working while I'm receiving
4111,Received product but 1side earpod not working even after factory reset. So asked for replacement but received the product which is used one. Can able to see scratches. And additional ear buds are missing in the replacement.Not satisfied with the delivery of the replacement but quality of sound is good.
4112,"I think that it was good product but there quality was poor, within 6 month my left earphone was unable to work . Im disappointed."
4113,The battery life is fairly good.The product design and size is compact and snuggly fits into the ear.The sound quality is also good. Only once in a while especially when you walk around with ear buds speaking or listening to music the sound goes off and on which is an irritant.Else over all the product is a good buy.
4114,Very good product.thank you Amazon.
4115,Bad quality
4116,Best in price range.
4117,Not properly fixed in ear another all things are good
4118,Good
4119,"                    The media could not be loaded.
                



 Nice!"
4120,Call voice not clear
4121,Out side noise is more when ur talking
4122,The bass is osm
4123,Worst product. Amazon not helping in refund or replacement so be careful.They don't want to retain customer and asking  me to contact BOAT
4124,"A good product at this price point. Had the sound quality be little better, this could have been a very good product."
4125,Waste product
4126,Product is not good
4127,"The sound of this product is Okay at this price point but the built quality is pathetic. Very cheap feel. In very first when I hands on this product, I won't believe that its a Boat product and also the battery life isn't good. But in sound you will little feel that this buds have Boat DNA.That's all about this. Check other options as well before purchasing this product."
4128,Good for listening songs but baseless sound. And not good for talking to other caller.
4129,Right side speaker not respond after one month of use.
4130,"For a music listeners like me, the sound (bass) is very very poor....had to installed music player app and adjust the equaliser in my phone...other like battery backup, charging period is ok."
4131,
4132,I like This Product At This RangeVary Good ProductBut there is very less Sound Cancellation
4133,Good
4134,Sometimes the sound gets cancelled and will continue after a second
4135,Good 😊
4136,Amazing product❤🤗
4137,"                    The media could not be loaded.
                



 Call sound not clear"
4138,Nice 4.5
4139,It's being annoying when it's showing starting trouble wasting a lot of time for it to get back sound and rest good but annoying a little bit 😤
4140,These ear buds are good for activities but can't be used for calling as the voice is not clear while using these earbuds.
4141,Quality bad and not working and Amazon not responsibility
4142,Only bass quality may be improved
4143,"Pathic product, I have purchased this product on 7th June , 2022 it has stopped working.Please help me out with process of warranty.It's understand warranty"
4144,
4145,Not Fitting well . Total waste of money. And first time facing this problem that the amazon not taking product return they are just replacing the item where i ant my money back so I can buy other product which will be perfect for me perfect in fitting other wise product is good sound and battery is good but if we are not able to use product for some more  time then its not worthy . while using this product I'm in worry that it'll get dropped anytime any where ….. SOOO unhappy by amazon for the first time ever 😑😑😑
4146,
4147,Good quality sound.
4148,Good product with adequate power back up at base price line. Satisfied.
4149,Please go for it its best in this price i love this product a lot
4150,Nice pics
4151,
4152,"Ovarall sound quality is good. But in stereo mode when I connect to my laptop, i experienced terrible sound quality. this airpods are not recommended for gaming.  I don't know what's the reason behind this. Ovarall when i connect to my mobile phone everything is ok. I have been using this for over for 2-3 month."
4153,Better I need a holder
4154,The other person over call or any other communication method cannot hear my voice clearly. I bought this looking at so many good ratings but it is definitely not up to the mark. I have made so many calls in the last 3 days and everyone has said that they cannot hear my voice or my voice is echoing.Primary reason i got this so that I can talk better over calls but its useless. Waste of money.
4155,Clarity is only good. Rest everything not worth. If you are buying just for the comfort and clarity go for it. The drivers are small which is the reason for reduced bass. Overall good product but wouldn't give full rating.
4156,Best affordable price
4157,All likes.
4158,Excellent product...!!
4159,Not properly fitted in ears
4160,but it keeps falling from ears
4161,The sound quality is good but easily breakable.
4162,Good looksBetter designSound could have been better
4163,Not working properly
4164,"Mice is not working,May be here is no good range of mice"
4165,
4166,It's my first day review quality n range is good.>>But if you play continuously more than 15 mins either 1 side of pod or both side pods are stop n automatically playing.>> If you put helmet n play songs it's not working. Even u can try cover your hands to both ears 👂.  It won't work..>> There is some disturbance when your talking to others on normal call.Will update more.....
4167,"I've purchased this product thrice. Both times, 2 pairs. First time, one stopped working in both pairs within first 10 days. Kids worked with one of the plugs. Giving the benefit to brand and doubting this to some error on our part, I bought a pair again. It broke within 2 months. The last attempt was a week back and one of the plugs has stopped working again."
4168,Super
4169,"Just bought it today and I got to discover it's mic doesn't work at all and on top It provides very average sound quality and bass nothing impressive,and noise cancellation isn't good too"
4170,mic quality is poor during call
4171,Not charging and not showing screen
4172,"                    The media could not be loaded.
                



 Voice problem last one month so plz humble request to return"
4173,"I bought this during sale for 799So I believe it is value for money.Pros: good sound, bass, light weight, long battey power.Cons: you will not get active noice cancellation feature in this price so talking over call in crowded place or noisy place will not give you the best sound quality.However for listening to music it's damn good."
4174,I really like it
4175,Good product
4176,EchoingNo sound clarity
4177,I was expecting a little more better sound quality and Mic. But I still recommend; at this price it is still a better deal. The noise cancellation is not good but the person on the other side of the call can you hear the voice just fine. So that way you can use it for both music and for your meetings or phone calls. The rest of the features like range battery back up design are all okay. Even volume controls could have been provided.
4178,Sound quality Very bed
4179,Best quality product best bass sound
4180,"I received a used product, the round tape on it was also tampered with, it had few scratches on the cover. The sad part is I opened the box after 20 days as it was gift for someone else so cudnt get the replacement done"
4181,Good sound and base
4182,VERY BAD ..DONT BUY
4183,Good hadephone
4184,I like boat earpods but have charging issue..I want to return because my product is in warranty.
4185,"Build quality is very cheap with this high price, there is no any sound in commands like connected, pair, disconnected... its just sound some music like very cheap earbuds.No type C, no touch control(it should with this high price), no water proof, uneasy to remove from case and if you press button to change song then its painful for ear. Next and previous song change functionality is not individually.  BT version 5.0. So price should be 600-700"
4186,"No noise cancellation, sound quality ok. Not great product."
